id_osm,data_implementacao
951779246,2023-12-01
951779247,2023-12-01
960211223,2023-12-01
976373693,2023-12-01
976373694,2023-12-01
976683401,2023-12-01
977556312,2023-12-01
1008684750,2023-12-01
1026102017,2023-12-01
1026102018,2023-12-01
1030694687,2023-12-01
1030698979,2023-12-01
1030698980,2023-12-01
1031681178,2023-12-01
1031681194,2023-12-01
1031681195,2023-12-01
1051950877,2023-12-01
1051950878,2023-12-01
1134397729,2023-12-01
1138535165,2023-12-01
1138535179,2023-12-01
1172641099,2023-12-01
48508761,2024-03-01
4330744,2024-04-01
4331371,2024-04-01
8140927,2024-04-01
16148297,2024-04-01
27692740,2024-04-01
27803771,2024-04-01
95493126,2024-04-01
96085767,2024-04-01
123825189,2024-04-01
124962804,2024-04-01
125451153,2024-04-01
226752644,2024-04-01
227617768,2024-04-01
227617769,2024-04-01
234501216,2024-04-01
250844667,2024-04-01
289959607,2024-04-01
289959611,2024-04-01
289959613,2024-04-01
320124209,2024-04-01
321830193,2024-04-01
371895565,2024-04-01
524268311,2024-04-01
524268312,2024-04-01
759449665,2024-04-01
775808207,2024-04-01
810247874,2024-04-01
933373475,2024-04-01
935936433,2024-04-01
937424999,2024-04-01
940020667,2024-04-01
940061084,2024-04-01
941591770,2024-04-01
961151339,2024-04-01
970766035,2024-04-01
976786739,2024-04-01
976797433,2024-04-01
1005450639,2024-04-01
1030694684,2024-04-01
1303520446,2024-04-01
1303520447,2024-04-01
1303539923,2024-04-01
4769241,2024-05-01
15722866,2024-05-01
30080360,2024-05-01
110434799,2024-05-01
196290635,2024-05-01
231731903,2024-05-01
239500321,2024-05-01
244739164,2024-05-01
244821386,2024-05-01
260187489,2024-05-01
260187490,2024-05-01
262851645,2024-05-01
262851646,2024-05-01
262851647,2024-05-01
262851649,2024-05-01
335804531,2024-05-01
337873115,2024-05-01
371887091,2024-05-01
419519987,2024-05-01
419519988,2024-05-01
447110036,2024-05-01
842760216,2024-05-01
913345016,2024-05-01
935618722,2024-05-01
935618723,2024-05-01
935618856,2024-05-01
935618857,2024-05-01
935894938,2024-05-01
936379310,2024-05-01
936383325,2024-05-01
936490292,2024-05-01
936490293,2024-05-01
936514333,2024-05-01
936514745,2024-05-01
939058934,2024-05-01
939058935,2024-05-01
939534176,2024-05-01
941591767,2024-05-01
941591768,2024-05-01
941591769,2024-05-01
941642312,2024-05-01
946062934,2024-05-01
946062935,2024-05-01
1027413469,2024-05-01
1027413470,2024-05-01
1066427674,2024-05-01
1066427675,2024-05-01
1094556965,2024-05-01
4331584,2024-06-01
4331588,2024-06-01
4363175,2024-06-01
13972584,2024-06-01
13972603,2024-06-01
37926774,2024-06-01
39124601,2024-06-01
39150427,2024-06-01
39151546,2024-06-01
39151548,2024-06-01
39152912,2024-06-01
131681593,2024-06-01
161393841,2024-06-01
183752941,2024-06-01
195841081,2024-06-01
195841083,2024-06-01
227632104,2024-06-01
227632107,2024-06-01
236011735,2024-06-01
236732307,2024-06-01
236899683,2024-06-01
237673747,2024-06-01
238367334,2024-06-01
238445520,2024-06-01
238497410,2024-06-01
238566805,2024-06-01
238811061,2024-06-01
292191460,2024-06-01
292191462,2024-06-01
292191463,2024-06-01
292191465,2024-06-01
292191469,2024-06-01
292191471,2024-06-01
292191473,2024-06-01
292191478,2024-06-01
292191480,2024-06-01
453860211,2024-06-01
453860212,2024-06-01
453860213,2024-06-01
453860214,2024-06-01
454576372,2024-06-01
454576373,2024-06-01
456246727,2024-06-01
617088702,2024-06-01
617088988,2024-06-01
679365052,2024-06-01
679365053,2024-06-01
679365054,2024-06-01
679365055,2024-06-01
679365056,2024-06-01
775808210,2024-06-01
775808222,2024-06-01
934784494,2024-06-01
936492979,2024-06-01
936492981,2024-06-01
936509253,2024-06-01
936519958,2024-06-01
936519959,2024-06-01
936519960,2024-06-01
936520314,2024-06-01
936520315,2024-06-01
936520318,2024-06-01
938425491,2024-06-01
940518725,2024-06-01
940518727,2024-06-01
940518728,2024-06-01
940518730,2024-06-01
942380415,2024-06-01
942380416,2024-06-01
942716449,2024-06-01
942731233,2024-06-01
944315271,2024-06-01
944454222,2024-06-01
947939040,2024-06-01
947939041,2024-06-01
947939042,2024-06-01
947939044,2024-06-01
947939045,2024-06-01
950187962,2024-06-01
1167235833,2024-06-01
226407716,2024-07-01
226407720,2024-07-01
230870444,2024-07-01
231041699,2024-07-01
231041704,2024-07-01
231041706,2024-07-01
231041708,2024-07-01
239940393,2024-07-01
239940565,2024-07-01
245013483,2024-07-01
245344772,2024-07-01
245344898,2024-07-01
245345049,2024-07-01
245345115,2024-07-01
245345472,2024-07-01
251629002,2024-07-01
290975104,2024-07-01
299782669,2024-07-01
299782676,2024-07-01
299782810,2024-07-01
299782812,2024-07-01
299782826,2024-07-01
299782828,2024-07-01
299783451,2024-07-01
299783456,2024-07-01
299783495,2024-07-01
329980523,2024-07-01
377796587,2024-07-01
378355630,2024-07-01
453160441,2024-07-01
453161459,2024-07-01
461777502,2024-07-01
461777506,2024-07-01
463159051,2024-07-01
463159058,2024-07-01
463159381,2024-07-01
463171543,2024-07-01
496538034,2024-07-01
496538037,2024-07-01
623207335,2024-07-01
852630292,2024-07-01
934784500,2024-07-01
934784519,2024-07-01
940862062,2024-07-01
945262391,2024-07-01
945266007,2024-07-01
945266008,2024-07-01
947793566,2024-07-01
947802446,2024-07-01
947802447,2024-07-01
947923800,2024-07-01
947925280,2024-07-01
947925699,2024-07-01
947925700,2024-07-01
947927838,2024-07-01
950188967,2024-07-01
951259126,2024-07-01
1026523312,2024-07-01
1026523314,2024-07-01
1026523319,2024-07-01
1158447629,2024-07-01
1339485320,2024-07-01
1339485321,2024-07-01
153606855,2024-07-01
234419620,2024-07-01
234419909,2024-07-01
251922783,2024-07-01
251922784,2024-07-01
251922785,2024-07-01
251922786,2024-07-01
251922787,2024-07-01
251923613,2024-07-01
251923615,2024-07-01
251923681,2024-07-01
251930019,2024-07-01
251939000,2024-07-01
252051728,2024-07-01
252291124,2024-07-01
280336547,2024-07-01
280336550,2024-07-01
340166211,2024-07-01
340166212,2024-07-01
408315781,2024-07-01
408315784,2024-07-01
408315800,2024-07-01
408315802,2024-07-01
408315805,2024-07-01
948192459,2024-07-01
948197562,2024-07-01
948197563,2024-07-01
948197564,2024-07-01
948197567,2024-07-01
948197570,2024-07-01
949531512,2024-07-01
949531513,2024-07-01
949732673,2024-07-01
949732674,2024-07-01
949738695,2024-07-01
949744113,2024-07-01
949744114,2024-07-01
949745273,2024-07-01
949748004,2024-07-01
949748006,2024-07-01
949748007,2024-07-01
949750143,2024-07-01
949750387,2024-07-01
949750388,2024-07-01
949759655,2024-07-01
949759656,2024-07-01
949759658,2024-07-01
949760363,2024-07-01
949760364,2024-07-01
949760365,2024-07-01
949760367,2024-07-01
949762322,2024-07-01
949769185,2024-07-01
949769186,2024-07-01
952047346,2024-07-01
952060276,2024-07-01
952060277,2024-07-01
956113185,2024-07-01
1025169568,2024-07-01
244993540,2024-07-01
598220645,2024-07-01
598220646,2024-07-01
940540564,2024-07-01
940540565,2024-07-01
940540566,2024-07-01
940544904,2024-07-01
940544905,2024-07-01
940544906,2024-07-01
940544907,2024-07-01
940546431,2024-07-01
940546432,2024-07-01
940546433,2024-07-01
940546434,2024-07-01
940547957,2024-07-01
940547958,2024-07-01
941551686,2024-07-01
941551687,2024-07-01
941553432,2024-07-01
941553434,2024-07-01
941581416,2024-07-01
941581417,2024-07-01
941590728,2024-07-01
941590729,2024-07-01
941590730,2024-07-01
941590731,2024-07-01
941590732,2024-07-01
941590733,2024-07-01
941590734,2024-07-01
941968711,2024-07-01
941968712,2024-07-01
984123388,2024-07-01
235556496,2024-07-01
235556497,2024-07-01
941942311,2024-07-01
1000285228,2024-09-01
1079331430,2024-09-01
1079331435,2024-09-01
128664062,2024-09-01
191731087,2024-09-01
213255098,2024-09-01
244035463,2024-09-01
251041425,2024-09-01
251041427,2024-09-01
252528112,2024-09-01
252528113,2024-09-01
252528124,2024-09-01
252528131,2024-09-01
37575334,2024-09-01
425383047,2024-09-01
447035355,2024-09-01
447035357,2024-09-01
479288105,2024-09-01
479288110,2024-09-01
591295554,2024-09-01
591295556,2024-09-01
591295557,2024-09-01
591295568,2024-09-01
591295569,2024-09-01
592788885,2024-09-01
592788888,2024-09-01
670972311,2024-09-01
762725622,2024-09-01
762725644,2024-09-01
762725645,2024-09-01
781304268,2024-09-01
781304269,2024-09-01
781304274,2024-09-01
781394733,2024-09-01
790562674,2024-09-01
790562686,2024-09-01
940022734,2024-09-01
940022735,2024-09-01
940027109,2024-09-01
940039441,2024-09-01
940039442,2024-09-01
940046847,2024-09-01
940055786,2024-09-01
940446216,2024-09-01
941536958,2024-09-01
941536959,2024-09-01
941543590,2024-09-01
941543591,2024-09-01
941551537,2024-09-01
941556019,2024-09-01
941575848,2024-09-01
942345383,2024-09-01
987222191,2024-09-01
